"Ссылка","Описание источника","Категория"
http://toporov.info/webtrees/index.php?ctype=gedcom&ged=igor,"Топоров","Родословные"
http://www.shabrov.ru/,"Шабровы","Родословные"
http://shehovtsev.narod.ru/,"Шехавцовы","Родословные"
http://genealogy.chiginskiy.ru/,"Чигинские","Родословные"
http://www.mckusick.org/index.htm,"MkKusick","Родословные"
http://rod.16mb.com/,"История нашей семьи","Родословные"
http://www.rusdeutsch.ru/?tagil=5,"Книга Памяти советских немцев-узников Тагиллага","Источники"
http://www.rusdeutsch.ru/?bogoslov=1,"Книга Памяти немцев-трудармейцев Богословлага","Источники"
http://en.auschwitz.org/m/index.php?option=com_wrapper&Itemid=31,"Узники Auschwitz","Источники"
http://www.ushmm.org/online/hsv/person_simple_search.php,"Жертвы Холокоста","Источники"
http://jewishgen.org/,"Данные по еврейским общинам на территории Российской Империи","Источники"
https://en.wikipedia.org/wiki/Wikipedia:List_of_online_newspaper_archives,"Газетные архивы","Источники"
http://www.rusarchives.ru/elektronnye-opisi-federalnyh-arhivov,"Электронные описи Федеральных архивов","Источники"
http://unsecret.rusarchives.ru/,"База данных рассекреченных дел и документов федеральных государственных архивов","Источники"
http://rod.meller.su/Ros_burzhuazia_1914/Ros_burzh_1914-0.htm,"Деловая элита России 1914 г.","Источники"
https://ru.wikipedia.org/,"Википедия","Источники"
http://www.petergen.com/,"Петербургский генеалогический портал","Сообщество"
http://www.svrt.ru/,"Союз возрождения родословных традиций","Сообщество"
http://rodmurmana.narod.ru/,"Мурманское родословное общество","Сообщество"
http://www.radzima.net/,"Найди свои корни в Беларуси и Литве","Сообщество"
http://forum.yar-genealogy.ru/,"Ярославское историко-родословное общество","Сообщество"
http://forum.molgen.org/,"Молекулярная генеалогия","Сообщество"
http://www.genealogia.ru/forum/,"Генеалоги.ру","Сообщество"
http://rodgersforum.borda.ru/,"Форум Уральской генеалогии","Сообщество"
http://forum.litera-ru.ru/,"Форум Литера Ру","Сообщество"
http://ufagen.ru/forum/,"Ufagen","Сообщество"
http://forum.genoua.name/,"Международный генеалогический форум Генео","Сообщество"
http://forum.rusarchives.ru/,"Архивы России","Сообщество"
http://rusgenealogy.clan.su/forum/,"Наши родные...","Сообщество"
http://*.svrt.ru/,"Союз возрождения родовых традиций","Сообщество"
http://forum.vgd.ru/,"Генеалогический форум ВГД","Сообщество"
http://baza.vgdru.com/,"Генеалогическая база знаний: персоны, фамилии, хроника","Сообщество"
https://www.flickr.com/groups/greatwararchive/pool/,"Народная электронная коллекция фотографий и документов Первой мировой войны","Источники"
